"Claim number","Response Date","Response"
"AL-ACTEM/39990/383",2009-08-04,"N"
"AL-ACTEM/40423/967",2010-11-25,"rejected"
"AL-ACTEM/40871/332",2012-02-28,"app"
"AL-ACTEM/39990/365",2009-08-04,"rejected"
"AL-ACTEM/40423/737",2010-11-25,"app"
"AL-ACTEM/40871/979",2012-02-28,"declined"
"AL-ACTEM/39990/819",2009-08-04,"Y"
"AL-ACTEM/40423/901",2010-11-25,"yes"
"AL-ACTEM/40871/736",2012-02-28,"app"
"AL-AVAST/37987/744",2005-07-12,"APPROVED"
"AL-AVAST/39343/472",2007-11-21,"declined"
"AL-AVAST/39343/441",2008-09-11,"APPROVED"
"AL-AVAST/39643/807",2008-09-23,"yes"
"AL-AVAST/39940/567",2009-06-17,"rejected"
"AL-AVAST/40554/637",2011-03-28,"app"
"AL-AVAST/40651/926",2011-05-26,"YES"
"AL-AVAST/41452/221",2013-09-18,"YES"
"AL-AVAST/42188/548",2015-09-03,"APPROVED"
"AL-AVAST/37987/642",2005-07-12,"APPROVED"
"AL-AVAST/39343/994",2007-11-21,"NO"
"AL-AVAST/39343/667",2007-11-21,"rejected"
"AL-AVAST/39277/553",2008-09-23,"Approved"
"AL-AVAST/39940/967",2009-06-17,"rejected"
"AL-AVAST/40554/199",2011-03-28,"NO"
"AL-AVAST/40651/493",2011-05-26,"NO"
"AL-AVAST/41451/249",2013-09-18,"APPROVED"
"AL-AVAST/42188/960",2015-09-03,"rejected"
"AL-BACTR/37622/526",2003-06-16,"YES"
"AL-BACTR/37622/856",2003-06-16,"Approved"
"AL-BACTR/37622/929",2003-06-16,"YES"
"AL-BACTR/37622/835",2003-06-16,"app"
"AL-BACTR/37622/268",2003-06-16,"rejected"
"AL-BACTR/37622/901",2003-06-16,"yes"
"AL-BACTR/37622/356",2003-06-16,"Approved"
"AL-BACTR/37622/539",2003-06-16,"app"
"AL-BACTR/37622/927",2003-06-16,"YES"
"AL-BACTR/37622/766",2003-06-16,"rejected"
"AL-BONVI/39244/211",2007-09-19,"Y"
"AL-BONVI/39244/677",2007-09-19,"declined"
"AL-BONVI/39244/981",2007-09-19,"N"
"AL-BONVI/39244/655",2007-09-19,"Approved"
